ID,TIMESTAMP,TYPE,REFERENCE,AMOUNT,BALANCE,PREVIOUS_HASH,HASH
23d5ecae84ceead090de2054,2026-08-01T17:24:11.118118+00:00,opening_balance,ledger,60.00,60.00,GENESIS,46bac1276b3cfb17b54fcd9f7bcd7f295e0c5c32151a53e6d97e787f2c74c4c2
31a2e0ec3fc4a295acf4c63d,2026-08-01T17:24:11.118119+00:00,stake,2026-07-29|landaluce|landalucevszheng,-1.80,58.20,46bac1276b3cfb17b54fcd9f7bcd7f295e0c5c32151a53e6d97e787f2c74c4c2,926e54ba38a26d31756f7f4f557d58d9200b03bca149f6c5f0d16c9e82ccb437
058a7ce6b28a9e85878983be,2026-08-01T17:24:11.118120+00:00,stake,2026-07-29|gea|geavskwon,-1.20,57.00,926e54ba38a26d31756f7f4f557d58d9200b03bca149f6c5f0d16c9e82ccb437,ef330fc90e5510c674c0283bc45cc2e412bdb4e60327312b8f8f597d3a5110f8
b54d13e6b91784d53d6dfb71,2026-08-01T17:24:11.118121+00:00,stake,2026-07-30|arthurgea|arthurvszhengmichaelatploscabosmexicogea,-1.14,55.86,ef330fc90e5510c674c0283bc45cc2e412bdb4e60327312b8f8f597d3a5110f8,e99a8cb18c4873a0bb90583bb631d205f01d7c235ec9323d1dac3cec9e590b16
72d6d37d80ad043c070fe05e,2026-08-01T17:24:11.118122+00:00,stake,2026-07-31|shinjihazawa|shinjihazawavsmoeranibouzigetennisitfmenbrisbaneqf,-1.68,54.18,e99a8cb18c4873a0bb90583bb631d205f01d7c235ec9323d1dac3cec9e590b16,63eb80e53fd84fe658e3ed161f62fefcbdd341527110d706f6abc937a9b526cf
6033b1fb7cfd21c39258d92e,2026-08-01T17:24:11.118123+00:00,return,2026-07-31|shinjihazawa|shinjihazawavsmoeranibouzigetennisitfmenbrisbaneqf,0.00,54.18,63eb80e53fd84fe658e3ed161f62fefcbdd341527110d706f6abc937a9b526cf,289837c53e575b7565c323078e8e15b76c6e66b6e45508eaea58948655a1de5a
0c59dcec7fae5131dbea16fe,2026-08-01T17:24:11.118124+00:00,stake,2026-07-31|ryukimatsuda|ryukimatsudavsisaacbecrofttennisitfmenbaliqf,-1.08,53.10,289837c53e575b7565c323078e8e15b76c6e66b6e45508eaea58948655a1de5a,5baa3a121ac3c6130f872558d8496e033e14d1c8fe71e50bf63b835b24b25d22
f4976576db294ad3147634eb,2026-08-01T17:24:11.118125+00:00,return,2026-07-31|ryukimatsuda|ryukimatsudavsisaacbecrofttennisitfmenbaliqf,0.00,53.10,5baa3a121ac3c6130f872558d8496e033e14d1c8fe71e50bf63b835b24b25d22,24397440cb19c28b881345f575a2a9ad74a562cbd7127ff610bf3c7fc831838b
d6bfa650c09835fa25bc0148,2026-08-02T22:26:14.731944+00:00,stake,2026-08-02|kyrianjacquet|gabrielvsjacquetkyrianatpmontrealcanadadiallo,-1.59,51.51,24397440cb19c28b881345f575a2a9ad74a562cbd7127ff610bf3c7fc831838b,c8b541d95e49e4589c1027fbdf5beb88c18c825287d8add0205b5cf988c94baa
897cd43854198c4cf0d3cbe4,2026-08-03T17:23:55.149929+00:00,stake,2026-08-03|shuaizhang|yuliavszhangshuaiwtatorontocanadaputintseva,-1.16,50.35,c8b541d95e49e4589c1027fbdf5beb88c18c825287d8add0205b5cf988c94baa,22e972b95136716caff4423270ad7f61d1f5fe77c25a09edae5a779cc3922646
7a2c9cbde185044ef0bbaedf,2026-08-03T19:03:46.276286+00:00,stake,2026-08-03|taylortownsend|terezavstownsendtaylorwtatorontocanadavalentova,-1.51,48.84,22e972b95136716caff4423270ad7f61d1f5fe77c25a09edae5a779cc3922646,278fb5058a5133f50f145268fd050b6d442b64c88994efed0941309519e00fb6
405b2628aba79313d13826a7,2026-08-04T17:11:34.008088+00:00,stake,2026-08-04|juanmanuelcerundolo|juanmanuelvsmedjedovichamadatpmontrealcanadacerundolo,-1.30,47.54,278fb5058a5133f50f145268fd050b6d442b64c88994efed0941309519e00fb6,8787bb395344744b2bcfacf170fdd407ab2d19dbcd0a838475022d421960f8a2
e2db324e5cdabda34a94ff06,2026-08-05T10:29:05.226367+00:00,stake,2026-08-05|fajingsun|iliavssunfajingchallengeristanbul2turkiyesimakin,-0.85,46.69,8787bb395344744b2bcfacf170fdd407ab2d19dbcd0a838475022d421960f8a2,24b503a07793f7d685eaec914496b6d91525d5295afebce22dde8337e81a8262
2ac422abaad5e48794d444c6,2026-08-07T13:48:03.996341+00:00,stake,2026-08-07|carlostaberner|elmervstabernercarloschallengerhagengermanymoller,-1.40,45.29,24b503a07793f7d685eaec914496b6d91525d5295afebce22dde8337e81a8262,3407a0b462a7ef302c6f792f778c5f97f54e58686684db2ec91f15453b45fe7e
ae4f23b8eb2990b83546f3d0,2026-08-08T10:59:21.814317+00:00,stake,2026-08-08|elmermoller|jeromevsmollerelmerchallengerhagengermanykym,-0.86,44.43,3407a0b462a7ef302c6f792f778c5f97f54e58686684db2ec91f15453b45fe7e,aaedf743e6a11fec420621db5078122c3842b599aa367be81f97954be7107c43
