TIMESTAMP,QUOTE_TIMESTAMP,DATE,EVENT_ID,MATCH,PICK,ODDS,BOOKMAKERS,DISPERSION,SOURCE,EVENT_STATUS,PRICE_MOVEMENT,VELOCITY_PER_HOUR,ACCELERATION_PER_HOUR2,SNAPSHOT_COUNT,LATEST_SNAPSHOT_AT,PRICE_AGE_MINUTES,STALE
2026-08-01T18:10:51.280305+00:00,,2026-08-02,73325024,"Baez, Sebastian vs Bellucci, Mattia","Baez, Sebastian",2.000,2,0.105263,Bet365/Unibet,pending,,,,1,2026-08-01T18:10:51.280305+00:00,0.000,False
2026-08-01T18:10:51.280305+00:00,,2026-08-02,73325018,"Fucsovics, Marton vs Moutet, Corentin","Fucsovics, Marton",2.070,2,0.034398,Unibet/Bet365,pending,,,,1,2026-08-01T18:10:51.280305+00:00,0.000,False
2026-08-02T14:25:29.603549+00:00,,2026-08-02,73325024,"Baez, Sebastian vs Bellucci, Mattia","Baez, Sebastian",,0,,,,,,,1,2026-08-01T18:10:51.280305+00:00,1214.639,True
2026-08-02T14:25:29.603549+00:00,,2026-08-02,73325018,"Fucsovics, Marton vs Moutet, Corentin","Fucsovics, Marton",,2,0.010050,Bet365/Unibet,pending,,,,1,2026-08-01T18:10:51.280305+00:00,1214.639,True
2026-08-02T20:28:10.278071+00:00,,2026-08-02,73352320,"Diallo, Gabriel vs Jacquet, Kyrian","Jacquet, Kyrian",2.100,2,0.058824,Unibet/Bet365,pending,,,,1,2026-08-02T20:28:10.278071+00:00,0.000,False
2026-08-02T20:28:10.278071+00:00,,2026-08-02,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson",2.550,1,0.000000,Unibet,pending,,,,1,2026-08-02T20:28:10.278071+00:00,0.000,False
2026-08-02T20:28:10.278071+00:00,,2026-08-02,73325208,"Gibson, Talia vs Cocciaretto, Elisabetta","Gibson, Talia",2.200,2,0.000000,Bet365/Unibet,pending,,,,1,2026-08-02T20:28:10.278071+00:00,0.000,False
2026-08-02T21:23:58.334702+00:00,,2026-08-02,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson",,0,,,,,,,1,2026-08-02T20:28:10.278071+00:00,55.801,True
2026-08-02T21:23:58.334702+00:00,,2026-08-02,73325208,"Gibson, Talia vs Cocciaretto, Elisabetta","Gibson, Talia",2.200,2,0.000000,Bet365/Unibet,pending,0.000000,0.000000,,2,2026-08-02T21:23:58.334702+00:00,0.000,False
2026-08-02T22:26:03.468983+00:00,,2026-08-02,73352320,"Diallo, Gabriel vs Jacquet, Kyrian","Jacquet, Kyrian",2.100,2,0.058824,Unibet/Bet365,pending,0.000000,0.000000,,2,2026-08-02T22:26:03.468983+00:00,0.000,False
2026-08-03T09:40:05.495616+00:00,,2026-08-03,73325192,"Valentova, Tereza vs Townsend, Taylor","Townsend, Taylor",2.750,2,0.056075,Unibet/Bet365,pending,,,,1,2026-08-03T09:40:05.495616+00:00,0.000,False
2026-08-03T09:40:05.495616+00:00,,2026-08-03,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson",3.000,2,0.033898,Bet365,pending,,,,1,2026-08-03T09:40:05.495616+00:00,0.000,False
2026-08-03T09:40:05.495616+00:00,,2026-08-03,73352326,"Mejia, Nicolas vs Landaluce, Martin","Mejia, Nicolas",3.000,2,0.000000,Bet365,pending,,,,1,2026-08-03T09:40:05.495616+00:00,0.000,False
2026-08-03T14:16:24.784843+00:00,,2026-08-03,73356486,"Korneeva, Alina vs Kudermetova, Polina","Kudermetova, Polina",2.750,2,0.000000,Unibet/Bet365,pending,,,,1,2026-08-03T14:16:24.784843+00:00,0.000,False
2026-08-03T14:16:24.784843+00:00,,2026-08-03,73325210,"Putintseva, Yulia vs Zhang, Shuai","Zhang, Shuai",2.750,2,0.037037,Unibet/Bet365,pending,,,,1,2026-08-03T14:16:24.784843+00:00,0.000,False
2026-08-03T14:16:24.784843+00:00,,2026-08-03,73375666,"Campana Lee, Gerard vs Haita, Stefan Horia","Haita, Stefan Horia",2.500,2,0.114165,Unibet/Bet365,live,,,,1,2026-08-03T14:16:24.784843+00:00,0.000,False
2026-08-03T17:23:44.225853+00:00,,2026-08-03,73356502,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson",2.650,1,0.000000,Unibet,pending,-0.116667,-0.015098,,2,2026-08-03T17:23:44.225853+00:00,0.000,False
2026-08-03T17:23:44.225853+00:00,,2026-08-03,73325210,"Putintseva, Yulia vs Zhang, Shuai","Zhang, Shuai",2.750,2,0.037037,Unibet/Bet365,pending,0.000000,0.000000,,2,2026-08-03T17:23:44.225853+00:00,0.000,False
